45 225
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
2 18 1
2 24 1
2 29 1
2 31 1
2 33 1
2 34 1
2 39 1
2 43 1
2 44 1
3 21 1
3 23 1
3 26 1
3 31 1
3 32 1
3 37 1
3 41 1
3 42 1
3 45 1
4 19 1
4 22 1
4 27 1
4 30 1
4 33 1
4 35 1
4 40 1
4 42 1
4 45 1
5 20 1
5 25 1
5 28 1
5 30 1
5 32 1
5 36 1
5 38 1
5 43 1
5 44 1
6 15 1
6 16 1
6 25 1
6 29 1
6 37 1
6 40 1
6 41 1
6 42 1
6 45 1
7 14 1
7 17 1
7 24 1
7 28 1
7 35 1
7 40 1
7 41 1
7 42 1
7 45 1
8 14 1
8 16 1
8 22 1
8 26 1
8 34 1
8 38 1
8 39 1
8 43 1
8 44 1
9 15 1
9 17 1
9 23 1
9 27 1
9 36 1
9 38 1
9 39 1
9 43 1
9 44 1
10 12 1
10 18 1
10 21 1
10 34 1
10 37 1
10 39 1
10 41 1
10 43 1
10 45 1
11 13 1
11 19 1
11 20 1
11 35 1
11 36 1
11 38 1
11 40 1
11 42 1
11 44 1
12 23 1
12 24 1
12 26 1
12 29 1
12 31 1
12 32 1
12 33 1
12 42 1
12 44 1
13 22 1
13 25 1
13 27 1
13 28 1
13 30 1
13 32 1
13 33 1
13 43 1
13 45 1
14 18 1
14 19 1
14 27 1
14 29 1
14 30 1
14 31 1
14 36 1
14 37 1
15 20 1
15 21 1
15 26 1
15 28 1
15 30 1
15 31 1
15 34 1
15 35 1
16 17 1
16 18 1
16 21 1
16 27 1
16 28 1
16 31 1
16 35 1
16 36 1
17 19 1
17 20 1
17 26 1
17 29 1
17 30 1
17 34 1
17 37 1
18 22 1
18 23 1
18 26 1
18 32 1
18 38 1
18 42 1
19 24 1
19 25 1
19 28 1
19 32 1
19 41 1
19 43 1
20 22 1
20 23 1
20 27 1
20 33 1
20 39 1
20 45 1
21 24 1
21 25 1
21 29 1
21 33 1
21 40 1
21 44 1
22 24 1
22 29 1
22 31 1
22 36 1
22 41 1
23 25 1
23 28 1
23 30 1
23 34 1
23 40 1
24 27 1
24 30 1
24 37 1
24 38 1
25 26 1
25 31 1
25 35 1
25 39 1
26 27 1
26 36 1
26 40 1
27 34 1
27 41 1
28 29 1
28 37 1
28 39 1
29 35 1
29 38 1
30 39 1
30 41 1
31 38 1
31 40 1
32 34 1
32 35 1
32 39 1
32 40 1
33 36 1
33 37 1
33 38 1
33 41 1
34 36 1
34 42 1
35 37 1
35 43 1
36 45 1
37 44 1
38 45 1
39 42 1
40 43 1
41 44 1
42 43 1
44 45 1
