61 915
1 2 1
1 4 1
1 5 1
1 6 1
1 10 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 20 1
1 21 1
1 23 1
1 26 1
1 28 1
1 35 1
1 37 1
1 40 1
1 42 1
1 43 1
1 46 1
1 47 1
1 48 1
1 49 1
1 50 1
1 53 1
1 57 1
1 58 1
1 59 1
1 61 1
2 3 1
2 5 1
2 6 1
2 7 1
2 11 1
2 14 1
2 15 1
2 16 1
2 17 1
2 18 1
2 21 1
2 22 1
2 24 1
2 27 1
2 29 1
2 36 1
2 38 1
2 41 1
2 43 1
2 44 1
2 47 1
2 48 1
2 49 1
2 50 1
2 51 1
2 54 1
2 58 1
2 59 1
2 60 1
3 4 1
3 6 1
3 7 1
3 8 1
3 12 1
3 15 1
3 16 1
3 17 1
3 18 1
3 19 1
3 22 1
3 23 1
3 25 1
3 28 1
3 30 1
3 37 1
3 39 1
3 42 1
3 44 1
3 45 1
3 48 1
3 49 1
3 50 1
3 51 1
3 52 1
3 55 1
3 59 1
3 60 1
3 61 1
4 5 1
4 7 1
4 8 1
4 9 1
4 13 1
4 16 1
4 17 1
4 18 1
4 19 1
4 20 1
4 23 1
4 24 1
4 26 1
4 29 1
4 31 1
4 38 1
4 40 1
4 43 1
4 45 1
4 46 1
4 49 1
4 50 1
4 51 1
4 52 1
4 53 1
4 56 1
4 60 1
4 61 1
5 6 1
5 8 1
5 9 1
5 10 1
5 14 1
5 17 1
5 18 1
5 19 1
5 20 1
5 21 1
5 24 1
5 25 1
5 27 1
5 30 1
5 32 1
5 39 1
5 41 1
5 44 1
5 46 1
5 47 1
5 50 1
5 51 1
5 52 1
5 53 1
5 54 1
5 57 1
5 61 1
6 7 1
6 9 1
6 10 1
6 11 1
6 15 1
6 18 1
6 19 1
6 20 1
6 21 1
6 22 1
6 25 1
6 26 1
6 28 1
6 31 1
6 33 1
6 40 1
6 42 1
6 45 1
6 47 1
6 48 1
6 51 1
6 52 1
6 53 1
6 54 1
6 55 1
6 58 1
7 8 1
7 10 1
7 11 1
7 12 1
7 16 1
7 19 1
7 20 1
7 21 1
7 22 1
7 23 1
7 26 1
7 27 1
7 29 1
7 32 1
7 34 1
7 41 1
7 43 1
7 46 1
7 48 1
7 49 1
7 52 1
7 53 1
7 54 1
7 55 1
7 56 1
7 59 1
8 9 1
8 11 1
8 12 1
8 13 1
8 17 1
8 20 1
8 21 1
8 22 1
8 23 1
8 24 1
8 27 1
8 28 1
8 30 1
8 33 1
8 35 1
8 42 1
8 44 1
8 47 1
8 49 1
8 50 1
8 53 1
8 54 1
8 55 1
8 56 1
8 57 1
8 60 1
9 10 1
9 12 1
9 13 1
9 14 1
9 18 1
9 21 1
9 22 1
9 23 1
9 24 1
9 25 1
9 28 1
9 29 1
9 31 1
9 34 1
9 36 1
9 43 1
9 45 1
9 48 1
9 50 1
9 51 1
9 54 1
9 55 1
9 56 1
9 57 1
9 58 1
9 61 1
10 11 1
10 13 1
10 14 1
10 15 1
10 19 1
10 22 1
10 23 1
10 24 1
