1000 49950 
1 156 2
1 384 4
1 187 7
1 839 7
1 899 8
1 119 5
1 920 5
1 865 10
1 225 9
1 631 5
1 734 2
1 483 6
1 644 1
1 84 8
1 783 6
1 919 9
1 387 6
1 976 10
1 858 2
1 738 9
1 431 10
1 980 4
1 39 4
1 109 8
1 235 6
1 45 2
1 878 5
1 443 8
1 233 1
1 76 10
1 567 7
1 210 7
1 695 9
1 557 2
1 69 3
1 89 3
1 782 10
1 512 2
1 508 7
1 30 9
1 362 6
1 844 1
1 678 5
1 245 8
1 972 7
1 768 3
1 686 8
1 653 8
1 199 8
1 406 9
1 87 5
1 583 7
1 366 7
1 24 7
1 504 10
1 386 5
1 682 8
1 550 7
1 150 7
1 675 1
1 88 9
1 165 5
1 625 5
1 212 4
1 110 10
1 106 6
1 403 1
1 249 4
1 205 9
1 526 9
1 38 1
1 496 5
1 189 9
1 659 5
1 206 2
1 854 1
1 594 5
1 253 7
1 257 6
1 170 6
1 650 5
2 77 9
2 977 1
2 716 8
2 672 5
2 27 1
2 173 4
2 548 6
2 601 6
2 687 5
2 541 4
2 249 6
2 498 8
2 971 8
2 357 9
2 39 2
2 29 10
2 911 8
2 751 6
2 427 10
2 961 8
2 874 8
2 211 1
2 218 9
2 516 6
2 162 7
2 830 6
2 267 4
2 415 4
2 49 1
2 121 10
2 907 7
2 494 2
2 958 2
2 310 1
2 706 2
2 102 4
2 785 6
2 871 6
2 864 1
2 834 6
2 54 8
2 495 7
2 896 6
2 300 6
2 366 4
2 468 3
2 235 7
2 396 8
2 196 10
2 52 10
2 92 6
2 715 8
2 579 10
2 204 6
2 371 2
2 82 4
2 401 4
2 247 9
2 337 8
2 553 10
2 178 10
2 272 7
2 845 8
2 59 9
2 590 4
2 95 6
2 397 4
2 814 2
2 748 6
2 647 1
2 372 3
2 517 6
2 75 3
2 10 10
2 314 10
2 159 8
2 699 7
2 731 9
2 9 2
2 561 4
2 844 6
2 132 8
2 454 8
2 873 4
2 919 7
2 383 10
2 219 1
2 758 3
2 676 3
2 233 5
2 901 5
2 414 6
2 793 4
2 399 5
2 202 9
2 40 7
2 99 3
2 798 6
2 35 10
2 33 4
2 134 3
2 869 10
2 521 10
2 410 4
2 18 8
2 515 2
2 394 6
3 492 6
3 86 2
3 547 8
3 957 10
3 562 10
3 46 7
3 409 8
3 216 8
3 989 9
3 8 1
3 151 7
3 460 8
3 349 2
3 880 5
3 419 9
3 486 7
3 786 9
3 591 9
3 1000 6
3 685 9
3 448 5
3 769 3
3 278 3
3 4 3
3 854 3
3 43 3
3 604 5
3 648 5
3 878 5
3 61 1
3 488 9
3 445 7
3 784 9
3 433 8
3 48 9
3 308 1
3 452 6
3 730 1
3 508 1
3 453 4
3 714 3
3 491 9
3 952 4
3 135 8
3 687 3
3 932 4
3 838 9
3 217 9
3 147 9
3 461 3
3 557 8
3 436 2
3 29 9
3 744 7
3 59 7
3 983 8
3 536 7
3 627 1
3 136 1
3 443 1
3 680 8
3 516 3
3 370 5
3 153 3
3 427 2
3 770 5
3 785 6
3 182 8
3 970 1
3 462 3
3 539 10
3 546 6
3 738 5
3 202 8
3 868 1
3 649 1
3 82 8
3 168 4
3 227 8
3 582 9
4 934 4
4 931 6
4 393 10
4 441 8
4 386 10
4 965 4
4 492 10
4 113 4
4 405 4
4 938 5
4 238 8
4 932 2
4 808 4
4 231 3
4 224 2
4 28 7
4 846 3
4 860 9
4 592 6
4 561 3
4 647 10
4 58 1
4 622 6
4 147 1
4 29 9
4 246 5
4 969 4
4 376 7
4 602 2
4 722 8
4 396 6
4 662 6
4 85 3
4 120 5
4 683 4
4 818 5
4 460 6
4 595 7
4 82 3
4 707 5
4 549 5
4 229 4
4 195 3
4 104 9
4 223 3
4 127 7
4 395 2
4 234 7
4 278 3
4 741 4
4 665 9
4 38 3
4 265 6
4 37 10
4 103 1
4 178 2
4 607 9
4 9 7
4 517 8
4 331 2
4 398 8
4 793 5
4 275 2
4 832 4
4 322 2
4 716 6
4 346 8
4 277 7
4 304 8
4 479 3
4 16 8
4 694 1
4 250 3
4 980 5
4 51 6
4 606 2
4 488 6
4 854 1
4 416 5
4 208 5
4 845 7
4 31 6
4 281 2
4 252 7
4 112 4
4 956 6
4 150 3
4 780 9
4 478 2
4 847 1
4 723 3
4 317 6
4 259 6
4 437 8
4 630 10
4 438 1
4 137 7
4 718 2
4 919 6
4 88 9
4 244 6
4 656 4
4 750 5
4 429 3
4 593 7
5 543 7
5 280 4
5 527 4
5 470 3
5 678 1
5 708 4
5 624 3
5 161 2
5 60 2
5 795 1
5 502 9
5 496 2
5 80 7
5 91 2
5 31 7
5 108 4
5 615 10
5 423 7
5 617 5
5 561 7
5 175 2
5 845 2
5 714 4
5 145 1
5 704 9
5 193 1
5 546 3
5 412 5
5 701 3
5 189 5
5 181 5
5 575 5
5 88 2
5 479 9
5 793 4
5 970 2
5 574 6
5 954 3
5 381 6
5 445 1
5 7 9
5 840 1
5 676 2
5 43 7
5 427 5
5 239 8
5 64 10
5 959 3
5 61 8
5 234 2
5 604 2
5 948 7
5 283 3
5 687 1
5 17 3
5 319 10
5 86 1
5 594 9
5 352 1
5 364 5
5 504 8
5 870 7
5 956 7
5 927 9
5 907 5
5 222 6
5 264 3
5 579 3
5 184 10
5 628 4
5 277 9
5 727 6
5 621 7
5 390 5
5 498 7
5 756 9
5 831 1
5 197 8
5 132 8
5 130 6
5 307 4
5 785 8
5 893 10
5 819 2
5 723 8
5 79 3
5 846 2
5 565 2
5 658 3
5 775 6
5 472 10
5 950 3
5 30 1
5 480 4
5 999 4
6 692 3
6 138 9
6 797 9
6 143 1
6 432 4
6 819 2
6 385 5
6 270 4
6 801 2
6 449 6
6 955 6
6 624 4
6 830 10
6 234 6
6 294 1
6 353 2
6 464 1
6 173 5
6 931 7
6 81 3
6 684 2
6 552 1
6 151 1
6 940 8
6 178 5
6 433 1
6 267 5
6 446 3
6 732 6
6 386 8
6 102 10
6 644 6
6 553 2
6 12 9
6 63 9
6 275 5
6 161 3
6 813 4
6 573 10
6 997 1
6 313 3
6 846 9
6 501 3
6 72 1
6 130 10
6 707 10
6 888 6
6 200 5
6 569 4
6 239 9
6 165 7
6 508 9
6 217 3
6 371 5
6 34 10
6 322 1
6 938 4
6 799 5
6 491 7
6 486 3
6 535 7
6 69 5
6 350 9
6 561 6
6 104 2
6 608 8
6 909 6
6 281 10
6 549 9
6 773 4
6 65 7
6 821 6
6 560 8
6 296 8
6 771 2
6 986 3
6 249 9
6 577 8
6 600 5
6 466 3
6 91 6
6 132 8
6 626 8
6 224 1
6 498 4
6 169 1
6 682 5
6 54 4
6 935 9
6 52 7
6 337 8
6 809 4
6 205 9
6 387 7
6 488 7
6 987 10
6 742 10
6 961 2
6 677 6
6 916 5
6 661 6
6 197 10
6 586 2
6 774 5
6 575 6
6 690 8
6 974 6
6 618 6
6 82 3
6 465 10
6 378 2
6 32 9
6 50 1
6 873 3
6 410 8
6 591 10
6 211 4
6 289 2
6 461 3
6 580 2
6 951 8
6 539 10
7 487 6
7 993 4
7 224 5
7 171 7
7 284 4
7 25 8
7 313 4
7 954 10
7 29 2
7 609 8
7 773 3
7 71 9
7 459 8
7 857 6
7 995 3
7 162 8
7 580 6
7 260 5
7 296 7
7 90 5
7 986 4
7 776 6
7 767 2
7 102 1
7 15 8
7 450 4
7 103 8
7 880 8
7 822 7
7 531 7
7 777 10
7 905 4
7 841 8
7 987 8
7 340 10
7 868 8
7 462 7
7 92 4
7 49 4
7 688 9
7 967 4
7 548 10
7 75 3
7 626 9
7 469 9
7 948 4
7 376 6
7 725 6
7 860 5
7 913 4
7 613 8
7 761 10
7 928 4
7 506 2
7 74 3
7 201 3
7 155 6
7 337 7
7 808 9
7 271 3
7 825 9
7 574 1
7 179 3
7 760 8
7 297 1
7 561 4
7 616 8
7 160 2
7 37 9
7 624 7
7 16 6
7 417 6
7 311 8
7 39 5
7 583 10
7 55 1
7 9 5
7 413 4
7 607 1
7 992 8
7 722 7
7 801 5
7 1000 4
7 799 1
7 258 7
7 864 8
8 512 9
8 405 6
8 977 9
8 338 9
8 377 4
